isBuyOrder,currencyCode,amount,price,executedAt,currencyCode0
1,USD,411.00,1467.30,"2025-02-03 14:17:06",USD
1,JPY,36974.00,949.21,"2025-02-03 14:26:11",JPY
1,JPY,13026.00,949.80,"2025-02-03 14:31:01",JPY
1,JPY,999.00,949.80,"2025-02-03 14:31:01",JPY
0,KRW,400.00,1467.60,"2025-02-03 14:51:53",USD
1,JPY,10000.00,949.90,"2025-02-03 15:08:39",JPY
1,USD,415.00,1467.40,"2025-02-03 15:09:56",USD
1,USD,400.00,1467.40,"2025-02-03 15:10:27",USD
1,JPY,10000.00,949.90,"2025-02-03 15:11:27",JPY
1,JPY,10000.00,952.13,"2025-02-03 15:26:22",JPY
0,KRW,400.00,1463.80,"2025-02-03 15:39:23",USD
0,KRW,400.00,1463.40,"2025-02-03 16:01:01",USD
0,KRW,10000.00,945.28,"2025-02-03 16:05:25",JPY
0,KRW,26419.00,939.67,"2025-02-03 23:36:09",JPY
0,KRW,16359.00,939.44,"2025-02-03 23:51:01",JPY
0,KRW,39757.00,939.08,"2025-02-03 23:56:12",JPY
0,KRW,402.00,1457.70,"2025-02-04 00:00:38",USD
0,KRW,590.00,1457.70,"2025-02-04 00:01:08",USD
0,KRW,747.00,1457.90,"2025-02-04 00:01:16",USD
0,KRW,720.00,1457.90,"2025-02-04 00:01:16",USD
1,USD,402.00,1458.00,"2025-02-04 00:07:34",USD
0,KRW,10000.00,939.99,"2025-02-04 00:12:41",JPY
1,USD,57.00,1459.00,"2025-02-04 00:16:33",USD
0,KRW,933.00,1459.10,"2025-02-04 00:30:06",USD
0,KRW,67.00,1458.10,"2025-02-04 00:31:40",USD
0,KRW,26355.00,938.43,"2025-02-04 00:36:13",JPY
0,KRW,402.00,1459.29,"2025-02-04 00:51:44",USD
0,KRW,740.00,1459.60,"2025-02-04 01:21:51",USD
0,KRW,986.00,1459.70,"2025-02-04 01:22:00",USD
1,JPY,27400.00,940.38,"2025-02-04 01:26:13",JPY
1,USD,988.00,1459.80,"2025-02-04 01:29:23",USD
0,KRW,17549.00,940.28,"2025-02-04 01:41:55",JPY
1,USD,738.00,1460.00,"2025-02-04 01:42:11",USD
0,KRW,13000.00,940.28,"2025-02-04 01:45:35",JPY
1,USD,402.00,1459.40,"2025-02-04 01:45:36",USD
1,JPY,13000.00,941.07,"2025-02-04 01:57:51",JPY
0,KRW,921.00,1459.10,"2025-02-04 02:15:11",USD
1,USD,904.00,1459.30,"2025-02-04 02:27:00",USD
1,USD,17.00,1459.30,"2025-02-04 02:27:00",USD
0,KRW,20000.00,940.28,"2025-02-04 02:39:44",JPY
1,JPY,12206.00,941.06,"2025-02-04 03:16:10",JPY
1,USD,878.00,1460.20,"2025-02-04 03:26:11",USD
1,JPY,12413.00,941.33,"2025-02-04 03:31:01",JPY
1,USD,333.00,1460.70,"2025-02-04 03:36:09",USD
0,KRW,15000.00,941.55,"2025-02-04 04:03:13",JPY
1,JPY,13629.00,941.47,"2025-02-04 04:12:01",JPY
1,JPY,1371.00,940.98,"2025-02-04 04:18:09",JPY
0,KRW,14000.00,940.43,"2025-02-04 04:36:53",JPY
1,JPY,14000.00,940.61,"2025-02-04 04:46:59",JPY
1,USD,500.00,1461.00,"2025-02-04 05:01:03",USD
1,USD,438.00,1461.00,"2025-02-04 05:01:03",USD
1,USD,62.00,1461.20,"2025-02-04 05:02:10",USD
1,USD,500.00,1461.20,"2025-02-04 05:02:10",USD
1,USD,252.00,1461.20,"2025-02-04 05:02:10",USD
1,USD,896.00,1464.40,"2025-02-04 05:06:12",USD
1,JPY,11212.00,944.69,"2025-02-04 05:06:14",JPY
1,USD,756.00,1463.70,"2025-02-04 05:07:03",USD
1,JPY,57203.00,944.70,"2025-02-04 05:08:15",JPY
1,USD,1027.00,1464.70,"2025-02-04 05:10:16",USD
1,USD,599.00,1465.60,"2025-02-04 05:11:01",USD
1,JPY,21999.00,946.00,"2025-02-04 05:11:02",JPY
1,USD,180.00,1465.60,"2025-02-04 05:11:30",USD
1,JPY,24449.00,944.11,"2025-02-04 05:12:10",JPY
1,USD,15.00,1464.70,"2025-02-04 05:12:34",USD
1,USD,554.00,1464.60,"2025-02-04 05:12:45",USD
1,JPY,7136.00,944.81,"2025-02-04 05:16:14",JPY
1,JPY,10179.00,944.81,"2025-02-04 05:16:35",JPY
1,USD,709.00,1464.20,"2025-02-04 05:16:42",USD
1,USD,1019.00,1463.80,"2025-02-04 05:17:01",USD
1,USD,1049.00,1463.70,"2025-02-04 05:17:14",USD
1,USD,979.00,1463.80,"2025-02-04 05:17:31",USD
0,KRW,722.00,1464.90,"2025-02-04 05:18:21",USD
1,USD,722.00,1464.30,"2025-02-04 05:29:58",USD
1,JPY,10000.00,943.67,"2025-02-04 05:30:27",JPY
0,KRW,10000.00,944.99,"2025-02-04 05:31:43",JPY
1,USD,221.00,1463.50,"2025-02-04 05:32:39",USD
0,KRW,12681.00,943.55,"2025-02-04 05:38:44",JPY
0,KRW,10000.00,943.43,"2025-02-04 05:49:41",JPY
0,KRW,20847.00,941.69,"2025-02-04 06:26:10",JPY
0,KRW,26706.00,941.52,"2025-02-04 06:36:14",JPY
0,KRW,2447.00,941.09,"2025-02-04 06:41:00",JPY
1,USD,244.00,1461.80,"2025-02-04 06:59:23",USD
0,KRW,20000.00,940.80,"2025-02-04 07:23:40",JPY
1,JPY,20000.00,940.75,"2025-02-04 07:26:47",JPY
0,KRW,867.00,1460.00,"2025-02-04 07:36:10",USD
0,KRW,10000.00,939.80,"2025-02-04 07:36:11",JPY
0,KRW,822.00,1459.60,"2025-02-04 07:41:01",USD
