,currencyCode,basePrice,createdAt
2437,JPY,939.35,2025-02-01 10:56:09
2478,USD,1457.5,2025-02-01 10:58:10
2479,JPY,939.35,2025-02-01 10:58:10
2520,USD,1457.5,2025-02-01 11:00:10
2521,JPY,939.35,2025-02-01 11:00:10
2562,USD,1457.5,2025-02-01 11:02:10
2563,JPY,939.35,2025-02-01 11:02:10
2604,USD,1457.5,2025-02-01 11:04:10
2605,JPY,939.35,2025-02-01 11:04:10
2646,USD,1457.5,2025-02-01 11:06:08
2647,JPY,939.35,2025-02-01 11:06:08
2688,USD,1457.5,2025-02-01 11:08:11
2689,JPY,939.35,2025-02-01 11:08:11
2730,USD,1457.5,2025-02-01 11:10:09
2731,JPY,939.35,2025-02-01 11:10:09
2772,USD,1457.5,2025-02-01 11:12:09
2773,JPY,939.35,2025-02-01 11:12:09
2814,USD,1457.5,2025-02-01 11:14:09
2815,JPY,939.35,2025-02-01 11:14:09
2856,USD,1457.5,2025-02-01 11:16:13
2857,JPY,939.35,2025-02-01 11:16:13
2898,USD,1457.5,2025-02-01 11:18:09
2899,JPY,939.35,2025-02-01 11:18:09
2940,USD,1457.5,2025-02-01 11:20:09
2941,JPY,939.35,2025-02-01 11:20:09
2982,USD,1457.5,2025-02-01 11:22:09
2983,JPY,939.35,2025-02-01 11:22:09
3024,USD,1457.5,2025-02-01 11:24:09
3025,JPY,939.35,2025-02-01 11:24:09
3066,USD,1457.5,2025-02-01 11:26:09
3067,JPY,939.35,2025-02-01 11:26:09
3108,USD,1457.5,2025-02-01 11:28:09
3109,JPY,939.35,2025-02-01 11:28:09
3150,USD,1457.5,2025-02-01 11:30:09
3151,JPY,939.35,2025-02-01 11:30:09
3192,USD,1457.5,2025-02-01 11:32:13
3193,JPY,939.35,2025-02-01 11:32:13
3234,USD,1457.5,2025-02-01 11:34:09
3235,JPY,939.35,2025-02-01 11:34:09
3276,USD,1457.5,2025-02-01 11:36:08
3277,JPY,939.35,2025-02-01 11:36:08
3318,USD,1457.5,2025-02-01 11:38:09
3319,JPY,939.35,2025-02-01 11:38:09
3360,USD,1457.5,2025-02-01 11:40:09
3361,JPY,939.35,2025-02-01 11:40:09
3402,USD,1457.5,2025-02-01 11:42:09
3403,JPY,939.35,2025-02-01 11:42:09
3444,USD,1457.5,2025-02-01 11:44:09
3445,JPY,939.35,2025-02-01 11:44:09
3486,USD,1457.5,2025-02-01 11:46:09
3487,JPY,939.35,2025-02-01 11:46:09
3528,USD,1457.5,2025-02-01 11:48:13
3529,JPY,939.35,2025-02-01 11:48:13
3570,USD,1457.5,2025-02-01 11:50:09
3571,JPY,939.35,2025-02-01 11:50:09
3612,USD,1457.5,2025-02-01 11:52:10
3613,JPY,939.35,2025-02-01 11:52:10
3654,USD,1457.5,2025-02-01 11:54:11
3655,JPY,939.35,2025-02-01 11:54:11
3696,USD,1457.5,2025-02-01 11:56:11
3697,JPY,939.35,2025-02-01 11:56:11
3738,USD,1457.5,2025-02-01 11:58:13
3739,JPY,939.35,2025-02-01 11:58:13
3780,USD,1457.5,2025-02-01 12:00:13
3781,JPY,939.35,2025-02-01 12:00:13
3822,USD,1457.5,2025-02-01 12:02:09
3823,JPY,939.35,2025-02-01 12:02:09
3864,USD,1457.5,2025-02-01 12:04:09
