2025-02-24 15:13:01,374 - INFO - 매수 거래량: 0.0, 매도 거래량: 11777.0
2025-02-24 15:13:01,374 - INFO - 매수 수익: 0.0, 매도 수익: 94216.0
2025-02-24 15:13:01,479 - INFO - 조건: (date_window: 1, adjustment: 9.0)
2025-02-24 15:13:01,479 - INFO - 매수 거래량: 0.0, 매도 거래량: 11028.0
2025-02-24 15:13:01,479 - INFO - 매수 수익: 0.0, 매도 수익: 99252.0
2025-02-24 15:13:01,570 - INFO - 조건: (date_window: 1, adjustment: 10.0)
2025-02-24 15:13:01,570 - INFO - 매수 거래량: 0.0, 매도 거래량: 11028.0
2025-02-24 15:13:01,570 - INFO - 매수 수익: 0.0, 매도 수익: 110280.0
2025-02-24 15:13:02,368 - INFO - 조건: (date_window: 2, adjustment: 1.0)
2025-02-24 15:13:02,368 - INFO - 매수 거래량: 26013.0, 매도 거래량: 21404.0
2025-02-24 15:13:02,368 - INFO - 매수 수익: 26013.0, 매도 수익: 21404.0
2025-02-24 15:13:03,051 - INFO - 조건: (date_window: 2, adjustment: 2.0)
2025-02-24 15:13:03,052 - INFO - 매수 거래량: 25513.0, 매도 거래량: 20471.0
2025-02-24 15:13:03,052 - INFO - 매수 수익: 51026.0, 매도 수익: 40942.0
2025-02-24 15:13:03,576 - INFO - 조건: (date_window: 2, adjustment: 3.0)
2025-02-24 15:13:03,576 - INFO - 매수 거래량: 20869.0, 매도 거래량: 18372.0
2025-02-24 15:13:03,576 - INFO - 매수 수익: 62607.0, 매도 수익: 55116.0
2025-02-24 15:13:04,033 - INFO - 조건: (date_window: 2, adjustment: 4.0)
2025-02-24 15:13:04,033 - INFO - 매수 거래량: 17027.0, 매도 거래량: 18372.0
2025-02-24 15:13:04,033 - INFO - 매수 수익: 68108.0, 매도 수익: 73488.0
2025-02-24 15:13:04,416 - INFO - 조건: (date_window: 2, adjustment: 5.0)
2025-02-24 15:13:04,416 - INFO - 매수 거래량: 12390.0, 매도 거래량: 17630.0
2025-02-24 15:13:04,416 - INFO - 매수 수익: 61950.0, 매도 수익: 88150.0
2025-02-24 15:13:04,783 - INFO - 조건: (date_window: 2, adjustment: 6.0)
2025-02-24 15:13:04,783 - INFO - 매수 거래량: 4890.0, 매도 거래량: 14165.0
2025-02-24 15:13:04,783 - INFO - 매수 수익: 29340.0, 매도 수익: 84990.0
2025-02-24 15:13:05,090 - INFO - 조건: (date_window: 2, adjustment: 7.0)
2025-02-24 15:13:05,090 - INFO - 매수 거래량: 1570.0, 매도 거래량: 14165.0
2025-02-24 15:13:05,090 - INFO - 매수 수익: 10990.0, 매도 수익: 99155.0
2025-02-24 15:13:05,380 - INFO - 조건: (date_window: 2, adjustment: 8.0)
2025-02-24 15:13:05,380 - INFO - 매수 거래량: 1433.0, 매도 거래량: 12546.0
2025-02-24 15:13:05,380 - INFO - 매수 수익: 11464.0, 매도 수익: 100368.0
2025-02-24 15:13:05,661 - INFO - 조건: (date_window: 2, adjustment: 9.0)
